qid,leader,wiki_title,article_length,cult_text,cult_evidence,hagiography_text,hagiography_evidence,birthday_text,birthday_evidence,monuments_text,monuments_evidence,titles_text,titles_evidence
Q881015,Gonzalez Lopez,Luis Arturo González López,2483,0,,0,,0,,0,,0,
Q293391,Mendoza Azurdia,Óscar Mendoza Azurdia,473,0,,0,,0,,0,,0,
Q879116,Peralta Azurdia,Enrique Peralta Azurdia,3286,0,,0,,0,,0,,0,
Q879311,Mendez Montenegro,Julio César Méndez Montenegro,9609,0,,0,,0,,0,,0,
Q887685,Arana Osorio,Carlos Manuel Arana Osorio,11708,0,,0,,0,,0,,0,
Q887011,Laugerud Garcia,Kjell Eugenio Laugerud García,3953,0,,0,,0,,0,,0,
Q293385,Mejia Victores,Óscar Humberto Mejía Víctores,6468,0,,0,,0,,0,,0,
Q887617,Cerezo,Vinicio Cerezo,9722,0,,0,,0,,0,,0,
Q293194,Berger Perdomo,Óscar Berger,8692,0,,0,,0,,0,,0,
Q57539,Perez Molina,Otto Pérez Molina,9933,0,,0,,0,,0,,0,
Q1490067,Hector Caraccioli,,0,0,,0,,0,,0,,0,
Q880056,Castro,Juan Alberto Melgar Castro,998,0,,0,,0,,0,,0,
Q880335,Paz Garcia,Policarpo Paz García,1091,0,,0,,0,,0,,0,
Q879219,Reina,Carlos Roberto Reina,4226,0,,0,,0,,0,,0,
Q441393,Ricardo Maduro,Ricardo Maduro,3169,0,,0,,0,,0,,0,
Q299442,Micheletti,Roberto Micheletti,10869,0,,0,,0,,0,,0,
Q887328,Castaneda Castro,Salvador Castaneda Castro,7021,0,,0,,0,,0,,0,
Q887586,Rodolfo Cordon,Eusebio Rodolfo Cordón Cea,237,0,,0,,0,,0,,0,
Q887693,Sanchez Hernandez,Fidel Sánchez Hernández,2626,0,,0,,0,,0,,0,
Q381018,Calderon Sol,Armando Calderón Sol,15953,0,,0,,0,,0,,0,
Q936831,Sanchez Ceren,Salvador Sánchez Cerén,7469,0,,0,,0,,0,,0,
Q312622,Anastasio Somoza Garcia,Anastasio Somoza García,10813,0,,0,,0,,1,"...had a son named José R. Somoza, born to an unknown mother. Somoza is entombed with his oldest son Luis at Cementerio Occidental in the National Guard Mausoleum in Managua, Nicaragua.   === ""Our Son of a Bitch"" === Although Somoza was recognized as a ruthless dictator, the United States continued to support h...",0,
Q529610,Luis Somoza Debayle,Luis Somoza Debayle,2530,0,,0,,0,,1,"...967, due to a heart attack. That place is now the Ministry of Defense. He is entombed at Cementerio Occidental with his father, in the National Guard Mausoleum in Managua, Nicaragua. His wife Isabel moved to Houston, Texas in the early 1990s, and died there in 2014.   == See also == National Guard (Nicaragua...",0,
Q888703,Guerrero Gutierrez,Lorenzo Guerrero,1013,0,,0,,0,,0,,0,
Q218443,Anastasio Somoza Debayle,Anastasio Somoza Debayle,14940,0,,0,,0,,1,"...d. Irurzún was killed in a shootout with Paraguayan police the day after the assassination. Somoza was buried in Miami, at Woodlawn Park Cemetery and Mausoleum, although his father Anastasio Somoza García and brother Luis Somoza Debayle, both prior presidents of Nicaragua, were buried in Nicaragua. A few mon...",0,
Q57402,Daniel Ortega,Daniel Ortega,48374,0,,0,,0,,0,,0,
Q114142,Violeta Chamorro,Violeta Chamorro,38623,0,,0,,0,,1,"...r visiting him in jail. When he was assassinated in 1978, Chamorro took over the newspaper. Pedro's murder strengthened the Nicaraguan Revolution and his image, as wielded by his widow, became a powerful symbol for the opposition forces. Initially, when the Sandinistas were victorious over Anastasio Somoza D...",0,
Q5974590,Leon Herrera,León Herrera Esteban,1874,0,,0,,0,,0,,0,
Q365359,Echandi Jimenez,Mario Echandi Jiménez,1748,0,,0,,0,,0,,0,
Q887589,Orlich,Francisco Orlich Bolmarcich,2124,0,,0,,0,,0,,0,
Q318298,Carazo Odio,Rodrigo Carazo Odio,4907,0,,0,,0,,0,,0,
Q887712,Calderon Fournier,Rafael Ángel Calderón Fournier,8036,0,,0,,0,,0,,1,"...ocial sector (health, education and public safety), suffered a deterioration. Liberal economic policy was what characterized his government. It was a great president bargaining. Main achievements of his government  Continue with housing projects. Created the Children's Museum. Built several parks in coordination w..."
Q82593,Figueres Olsen,José María Figueres,17657,0,,0,,0,,0,,0,
Q57321,Laura Chinchilla Miranda,Laura Chinchilla,17656,0,,0,,0,,0,,0,
Q880729,Guizado,José Ramón Guizado,1985,0,,0,,0,,0,,0,
Q887699,Balladares,Ernesto Pérez Balladares,10707,0,,0,,0,,0,,0,
Q231946,Mireya Moscoso,Mireya Moscoso,10469,0,,0,,0,,0,,0,
Q276283,Martin Torrijos,Martín Torrijos,8175,0,,0,,0,,0,,0,
Q12002,Lleras Camargo,Alberto Lleras Camargo,3930,0,,0,,0,,0,,0,
Q455692,Rojas Pinillia,Gustavo Rojas Pinilla,15860,0,,0,,0,,0,,0,
Q540230,Lleras Restropo,Carlos Lleras Restrepo,3878,0,,0,,0,,0,,0,
Q728833,Pastrana Borrero,Misael Pastrana Borrero,3100,0,,0,,0,,0,,0,
Q540192,Vargas,Virgilio Barco Vargas,2974,0,,0,,0,,0,,0,
Q332020,César Gaviria Trujillo,César Gaviria,6282,0,,0,,0,,0,,0,
Q187413,Alvaro Uribe Velez,Álvaro Uribe,55300,0,,0,,0,,0,,0,
Q888147,Delgado Chalbaud,Carlos Delgado Chalbaud,3104,0,,0,,0,,0,,0,
Q718250,Sanabria,Edgar Sanabria,2070,0,,0,,0,,0,,0,
Q455661,Campins,Luis Herrera Campins,4217,0,,1,"...tty Urdaneta and three sons.   == See also == Venezuela Presidents of Venezuela Viernes Negro   == References ==  (in Spanish) Luis Herrera Campins – Official biography (but rather biased, based on historical view of current Venezuelan administration) (in Spanish) Luis Herrera Campins Obituary in The Times, 14 Novemb...",0,,0,,0,
Q727036,Lusinchi,Jaime Lusinchi,14688,0,,1,....   == See also ==  Presidents of Venezuela Political prisoners in Venezuela   == References ==   == External links ==  (in Spanish) Jaime Lusinchi – Official biography. (in Spanish) Jaime Lusinchi Archived 10 March 2012 at the Wayback Machine – Venezuelatuya.com (in Spanish) Biography by CIDOB (in Spanish) Efeméride...,0,,0,,0,
Q58132,Maduro,Nicolás Maduro,77742,0,,0,,0,,0,,0,
Q718256,Burnham,Forbes Burnham,41619,0,,1,"...c suppression, as people remained politically inactive due to fear of losing their jobs. Burnham continued as president until his death in 1985.   == Political philosophy == Burnham's leadership was characterized by authoritarian rule. According to Walter Rodney, ""Burnham's style of rule has many similarities with that...",0,,1,"...throat cancer. There are also theories as to why Burnham's body was buried after being prepared for permanent open display. His body is in Burnham's Mausoleum (built in 1986) in the Guyana Botanical Gardens in Georgetown. The Mausoleum is built mostly from reinforced concrete, with a floor of granite source...",1,"...by the National Trust of Guyana.   == Legacy ==  Burnham is considered a controversial figure. Burnham's successor, Desmond Hoyte, called Burnham a ""great leader"". President of Guyana David A. Granger said ""He was a brilliant man, a futuristic thinker, a man of honour, having integrity and a high degree of dis..."
Q887418,Hoyte,Desmond Hoyte,7816,0,,0,,0,,0,,0,
Q724156,Jagan Cheddi,Cheddi Jagan,28371,0,,1,"...emisphere, ahead of Chilean leader Salvador Allende. Percy Hintzen stated that ""characterization of Jagan as a communist misses the complexity of his political philosophy… if Jagan was indeed a communist, it was certainly not reflected in the policies and programs that his party attempted to implement while in office.""...",0,,0,,1,"...pear in the list of national awards. Jagan also received the Order of the Companions of O.R. Tambo from South Africa in 2005. Jagan's wide regard as ""Father of the Nation"" in Guyana is stated by several different sources, including the Cheddi Jagan Research Centre, the Guyana Chronicle, the Times of India and important..."
Q57697,Samuel Hinds,Sam Hinds,2157,0,,0,,0,,0,,0,
Q239709,Janet Jagan,Janet Jagan,7173,0,,0,,0,,0,,0,
Q212760,Bharrat Jagdeo,Bharrat Jagdeo,14260,0,,0,,0,,0,,0,
Q57422,Ramotar,Donald Ramotar,4167,0,,0,,0,,0,,0,
Q333129,Ferrier,Johan Ferrier,4011,0,,0,,0,,0,,0,
Q434552,Mancheno,Carlos Mancheno Cajas,558,0,,0,,0,,0,,0,
Q887063,Plaza Lasso,Galo Plaza,5148,0,,0,,0,,0,,0,
Q718247,Arosemena Monroy,Carlos Julio Arosemena Monroy,1321,0,,0,,0,,0,,0,
Q434746,Arosemena Gomez,Otto Arosemena,4491,0,,0,,0,,0,,0,
Q728490,Rodriguez Lara,Guillermo Rodríguez (politician),1466,0,,0,,0,,0,,0,
Q878508,Hurtado Larrea,Osvaldo Hurtado,1962,0,,1,"...t of Ecuador and served out the rest of his term. Hurtado is a member of the Club de Madrid. He is also a member of the Inter-American Dialogue.   == Selected works == Political Power in Ecuador, Westview Press, 1985, ISBN 0813302641 Portrait of a Nation: Culture and Progress in Ecuador, Madison Books, 2010, ISBN...",0,,0,,0,
Q743354,Borja Cevallos,Rodrigo Borja Cevallos,8461,0,,0,,0,,0,,0,
Q291543,Rosalia Arteaga Serrano,Rosalía Arteaga,5504,0,,0,,0,,0,,0,
Q471248,Mahuad,Jamil Mahuad,4016,0,,0,,0,,0,,0,
Q471291,Gustavo Noboa,Gustavo Noboa,3443,0,,0,,0,,0,,0,
Q336234,Lucio Gutierrez,Lucio Gutiérrez,12571,0,,0,,0,,0,,0,
Q19581,Rafael Correa,Rafael Correa,75939,0,,1,"...to satisfy basic needs, where harmony with nature is sought, where we seek the indescribable life of cultures."" This was reflected in an ideological manifesto of Correa's PAIS Alliance and various development plans, which promoted as an alternative to capitalism Buen Vivir (Good Living). He declared Ecuador...",0,,0,,1,"..., Grand Cross of the Armed forces of Ecuador – in gratitude for the administration carried out for the benefit of the soldiers of the Homeland. Order Great Marshal of Ayacucho of Venezuela – for the Bolivarian character of his administration in Ecuador, February 2009. Medal of Honor in the Grade of Grand Cross –..."
Q116718,Ugarteche,Manuel Prado Ugarteche,22446,0,,0,,0,,0,,0,
Q311431,Velasco Alvarado,Juan Velasco Alvarado,19796,0,,1,"...rm the traditional capitalist company, according to the principles and postulates of the Revolution that the Armed Forces promised the country in its Manifesto of October 3, 1968. Without However, here have arisen, as in the case of the Agrarian Reform, the understandable difficulties of understanding inhere...",0,,0,,0,
Q207426,Alejandro Toledo,Alejandro Toledo,53916,0,,0,,0,,0,,0,
Q57254,Ollanta Humala,Ollanta Humala,23193,0,,0,,0,,0,,0,
Q296679,Dutra,Eurico Gaspar Dutra,6619,0,,0,,0,,0,,0,
Q269572,Coimbra da Luz,Carlos Coimbra da Luz,18656,0,,0,,0,,0,,0,
Q155824,Kubitschek,Juscelino Kubitschek de Oliveira,43591,0,,0,,0,,0,,0,
Q192361,Ranieri Mazzilli,Pascoal Ranieri Mazzilli,3267,0,,0,,0,,0,,0,
Q294430,Castello Branco,Humberto de Alencar Castelo Branco,8558,0,,0,,0,,0,,0,
Q294241,Geisel,Ernesto Geisel,12051,0,,0,,0,,0,,0,
Q236503,Mello,Fernando Collor de Mello,23966,0,,0,,0,,1,"...reira's plan tried to correct some aspects of the first plan, but it was too late. Collor's administration was paralyzed by the fast deterioration of his image, through a succession of corruption accusations. During the Plano Collor, yearly inflation was at first reduced from 30,000 percent in 1990 (Collor's...",0,
Q485946,"Franco, Itamar",Itamar Franco,10939,0,,0,,0,,0,,0,
Q230578,Cardoso,Fernando Henrique Cardoso,20513,0,,1,"...ry Doctor of Laws, Harvard University (awarded in Cambridge, Massachusetts, on 26 May 2016). 2021 Honorary Doctor of Science, University of Bath   == Selected works == Cardoso, Fernando Henrique (2006) The Accidental President of Brazil, PublicAffairs, ISBN 1-58648-324-2 Cardoso, Fernando Henrique (2001) Charting...",0,,0,,0,
Q40722,Rousseff,Dilma Rousseff,63723,0,,1,"...ctorate. And then I became minister and did not finish the doctorate"", she said. Her academic credentials have been the subject of controversy as her official biography listed these master's and doctoral degrees that she had never earned. She was, however, twice enrolled in the graduate program in economics at the St...",0,,0,,0,
Q3306306,Urriolagoitia,Mamerto Urriolagoitía,4399,0,,0,,0,,0,,0,
Q886540,Siles Salinas,Luis Adolfo Siles Salinas,2763,0,,0,,0,,0,,0,
Q269039,Banzer Suarez,Hugo Banzer,16952,0,,0,,0,,1,"...d with government ""help"" at the polls, rule for four years, and then allow Banzer to return as constitutional president once he had time to polish up his image and transition to civilian politics. However, by election time the popularity of a left-wing coalition of former president Hernán Siles was such that...",0,
Q2566177,Pereda Asbun,Juan Pereda,3392,0,,0,,0,,1,"...with the ""help"" of a rigged election, rule for four years, and then allow Banzer to return as constitutional president once he had time to polish up his image and transition to civilian politics. Apparently, Banzer had second thoughts, for by election time the left-wing UDP coalition of former president Her...",0,
Q886490,Natusch Busch,Alberto Natusch,2653,0,,0,,0,,0,,0,
Q466098,Lidia Gueiler Tejada,Lidia Gueiler,4397,0,,0,,0,,0,,0,
Q555207,Paz Zamora,Jaime Paz Zamora,10358,0,,0,,0,,0,,0,
Q379645,Gonzalo Sanchez de Lozada,Gonzalo Sánchez de Lozada,22440,0,,0,,0,,0,,0,
Q468805,Jorge Quiroga Ramirez,Jorge Quiroga,7890,0,,0,,0,,0,,0,
Q312668,Carlos Mesa,Carlos Mesa,75464,0,,0,,0,,0,,0,
Q628530,Frutos,Juan Manuel Frutos,2430,0,,0,,0,,0,,0,
Q888255,Molas Lopez,Felipe Molas López,5391,0,,0,,0,,0,,0,
Q152534,Stroessner,Alfredo Stroessner,27228,0,,0,,0,,1,"...a result of this he may have fathered over 30 illegitimate children. The affairs and child abuse were divulged after his downfall, further tarnishing his image.   == Legacy ==  Stroessner was the second-longest serving leader of a Latin American country. His 35 year dictatorship was surpassed in length by on...",0,
Q440837,Rodriguez Pedotti,Andrés Rodríguez (politician),7081,0,,0,,0,,0,,0,
Q438594,Gonzalez Macchi,Luis González Macchi,2166,0,,0,,0,,0,,0,
Q222652,Nicanor Duarte Frutos,Nicanor Duarte,10239,0,,0,,0,,0,,1,"...ration and was later appointed Minister of Education by President Juan Carlos Wasmosy in 1993. Duarte became an opponent of army general and colorado caudillo Lino Oviedo, who led a failed coup against Wasmosy in 1996. His opposition to Oviedo drifted Duarte increasingly closer to the general's main rival,..."
Q151879,Fernando Lugo,Fernando Lugo,13729,0,,0,,0,,0,,0,
Q57496,Federico Franco,Federico Franco,6193,0,,0,,0,,0,,0,
Q5901842,Horacio Cartes,Horacio Cartes,13646,0,,0,,0,,0,,0,
Q576,Alessandri Rodriguez,Jorge Alessandri,8285,0,,1,"...ze the general reality and highlight his public action, thus starting his second presidential candidacy. Publishing in the press in September 1968, a manifesto to the country -subscribed by Guillermo Feliú Cruz, historian; Hugo Galvez Gajardo, former Minister; Adolfo Silva Henríquez, farmer; Jaime Guzmán Err...",0,,0,,0,
Q475,Frei Montalva,Eduardo Frei Montalva,19196,0,,0,,0,,0,,0,
Q440,Allende,Salvador Allende,53334,0,,0,,0,,1,"...La Moneda in 1973.   === Europe ===  In 1984, a memorial stone dedicated to him was erected in the Gajnice neighbourhood of Zagreb. There is a bronze bust of him accompanied by a memorial stone in the Donaupark in Vienna. In Istanbul, a statue of Allende can be found side by side with Mustafa Kemal Atatürk in...",0,
Q368,Pinochet,Augusto Pinochet,68521,0,,1,"...ished a book with text written  by historian Gonzalo Vial and admiral Patricio Carvajal, titled El Libro Blanco del cambio de gobierno en Chile ('The White Book on the Change of Government in Chile'), commonly known as El Libro Blanco, in which they said that they were in fact anticipating a self-coup (the al...",0,,1,"..., also a historian, has lamented the lack of an international condemnation of Pinochet in court, since, according to Salazar, that would have damaged his image ""irreparably"" and that of the judicial system of Chile [for the good] too. In 1989, indigenous Mapuche groups representing the ""Consejos Regionales""...",0,
Q335,Aylwin,Patricio Aylwin,10743,0,,1,...gust 1992)  Austria: Grand Star of the Decoration of Honour for Services to the Republic of Austria (1993)   == References ==   == External links ==  Official Biography in section Galería de Presidentes (President's Gallery) (in Spanish) Biography by CIDOB (in Spanish)...,0,,0,,0,
Q331,Ricardo Lagos Escobar,Ricardo Lagos,17821,0,,0,,0,,0,,0,
Q320,Michelle Bachelet,Michelle Bachelet,56663,0,,0,,0,,0,,0,
Q306,Sebastian Piñera,Sebastián Piñera,49385,0,,1,"...005, in a surprise move, Piñera announced his candidacy for the 2005 presidential election (RN was supposed to support UDI's Lavín). He described his political philosophy as Christian humanism.   === 2009–10 presidential elections ===  Piñera ran for President of Chile in the 2009–2010 election. From August 2009, he le...",0,,0,,0,
Q365431,Lonardi,Eduardo Lonardi,1825,0,,0,,0,,0,,0,
Q188974,Aramburu,Pedro Eugenio Aramburu,4466,0,,0,,0,,0,,0,
Q346658,Frondizi,Arturo Frondizi,87620,0,,0,,0,,0,,0,
Q270368,Arturo Illia,Arturo Umberto Illia,32858,0,,0,,0,,0,,0,
Q380980,Levingston,Roberto Marcelo Levingston,2244,0,,0,,0,,0,,0,
Q349261,Lastiri,Raúl Lastiri,2825,0,,0,,0,,0,,0,
Q313996,Viola,Roberto Eduardo Viola,3624,0,,0,,0,,0,,0,
Q124993,Galtieri,Leopoldo Galtieri,10797,0,,0,,0,,1,"...cancer on 16 August 2002 at a hospital in Buenos Aires. He died there of a heart attack on 12 January 2003, aged 76. His body is interred in a small mausoleum at La Chacarita Cemetery.   == Notes ==   == References ==   == External links ==...",0,
